"time","ax","ay","az","a_mag"
3.836719000E-2,-7.141379356E0,-6.159723759E0,3.559921980E0,1.008040378E1
4.090479400E-2,-7.060023308E0,-6.059225082E0,3.626920938E0,9.985624327E0
4.344239800E-2,-6.973881721E0,-5.982655048E0,3.632304668E0,9.880325141E0
4.598000200E-2,-6.940382004E0,-5.948556900E0,3.684946775E0,9.855610802E0
4.852786700E-2,-6.906882763E0,-5.919843197E0,3.689732552E0,9.816501377E0
5.106547100E-2,-6.911668301E0,-5.924628735E0,3.694518089E0,9.824553336E0
5.360307500E-2,-6.930810928E0,-5.900700569E0,3.641875982E0,9.803961852E0
5.614067900E-2,-6.878168583E0,-5.881557941E0,3.675375462E0,9.767820210E0
5.867833500E-2,-6.887740135E0,-5.876772404E0,3.728017569E0,9.791605233E0
6.121594000E-2,-6.839883327E0,-5.838487148E0,3.708875179E0,9.727676558E0
6.375354400E-2,-6.849454880E0,-5.833701611E0,3.761517286E0,9.751723895E0
6.629114800E-2,-6.811169624E0,-5.790630817E0,3.775874138E0,9.704672195E0
6.883614800E-2,-6.787241459E0,-5.785845280E0,3.790230989E0,9.690639978E0
7.137922100E-2,-6.777669907E0,-5.771488190E0,3.876372576E0,9.709436113E0
7.391682500E-2,-6.729215622E0,-5.733202934E0,3.938585997E0,9.678037943E0
7.645442900E-2,-6.657430649E0,-5.699703693E0,4.000799656E0,9.634023195E0
7.899208500E-2,-6.623931408E0,-5.733202934E0,4.034298897E0,9.644773236E0
8.152969000E-2,-6.585646152E0,-5.723631859E0,4.063013077E0,9.624903748E0
8.406729400E-2,-6.556932449E0,-5.771488190E0,4.096512318E0,9.648049142E0
8.660489800E-2,-6.619145870E0,-5.718846321E0,4.082155228E0,9.653097254E0
8.914989800E-2,-6.614359856E0,-5.723631859E0,4.096512318E0,9.658733412E0
9.169427300E-2,-6.652645111E0,-5.757131100E0,4.120440483E0,9.714951119E0
9.423349200E-2,-6.710072994E0,-5.737988472E0,4.077369690E0,9.724943953E0
9.677265800E-2,-6.743572235E0,-5.742774487E0,4.067798615E0,9.746907759E0
9.931182500E-2,-6.700501442E0,-5.814558983E0,3.972085476E0,9.720250962E0
1.018509400E-1,-6.748358250E0,-5.804987907E0,3.885943890E0,9.712815430E0
1.043901580E-1,-6.757929325E0,-5.795416355E0,3.804588079E0,9.681495233E0
1.069293770E-1,-6.768098831E0,-5.905486107E0,3.689732552E0,9.710615544E0
1.094688040E-1,-6.825526714E0,-5.967699528E0,3.564707518E0,9.742093834E0
1.120080230E-1,-6.897311211E0,-6.044867992E0,3.483351469E0,9.810559028E0
1.145471900E-1,-6.973881721E0,-6.059225082E0,3.449851990E0,9.861577643E0
1.170863560E-1,-7.031309128E0,-6.092724800E0,3.430709362E0,9.916167116E0
1.196255750E-1,-7.179664135E0,-6.068796635E0,3.454637766E0,1.001560741E1
1.221646900E-1,-7.342376232E0,-6.083153248E0,3.535993576E0,1.016948832E1
1.247039080E-1,-7.356733322E0,-6.073582172E0,3.540779352E0,1.017580680E1
1.272430750E-1,-7.294519901E0,-6.035296917E0,3.540779352E0,1.010801404E1
1.297825020E-1,-7.194021225E0,-5.987440586E0,3.569493294E0,1.001721860E1
1.323217210E-1,-7.050451756E0,-5.972485542E0,3.593421459E0,9.914238816E0
1.348608880E-1,-6.969096184E0,-5.895915031E0,3.574278831E0,9.803345594E0
1.374001060E-1,-6.882954121E0,-5.876772404E0,3.569493294E0,9.728966733E0
1.399392730E-1,-6.753143787E0,-5.819344521E0,3.559921980E0,9.599102362E0
1.424784400E-1,-6.777669907E0,-5.819344521E0,3.569493294E0,9.619920082E0
1.450176580E-1,-6.763313293E0,-5.766702652E0,3.559921980E0,9.574461378E0
1.475568250E-1,-6.734001160E0,-5.757131100E0,3.564707518E0,9.549788993E0
1.500962000E-1,-6.734001160E0,-5.728417397E0,3.602992773E0,9.546889253E0
1.526354190E-1,-6.757929325E0,-5.690132141E0,3.646661758E0,9.557476368E0
1.551745850E-1,-6.763313293E0,-5.637490273E0,3.656233072E0,9.533716146E0
1.577138040E-1,-6.806384087E0,-5.623133183E0,3.675375462E0,9.563204270E0
1.602529710E-1,-6.873383045E0,-5.603990555E0,3.699303865E0,9.609003784E0
1.627921900E-1,-6.897311211E0,-5.603990555E0,3.637090445E0,9.602397564E0
1.653313560E-1,-6.902096748E0,-5.618347645E0,3.665804386E0,9.625117744E0
1.678705750E-1,-6.854240417E0,-5.594419479E0,3.756731510E0,9.612032701E0
1.704098980E-1,-6.815955162E0,-5.637490273E0,3.732803345E0,9.600643841E0
1.729491170E-1,-6.839883327E0,-5.642275810E0,3.737588882E0,9.622310061E0
1.754882830E-1,-6.792026997E0,-5.690132141E0,3.761517286E0,9.625915375E0
1.780275020E-1,-6.753143787E0,-5.704489231E0,3.756731510E0,9.605164238E0
1.805667210E-1,-6.700501442E0,-5.728417397E0,3.732803345E0,9.573155501E0
1.831058880E-1,-6.710072994E0,-5.728417397E0,3.704089403E0,9.568705438E0
1.856451060E-1,-6.714858532E0,-5.728417397E0,3.637090445E0,9.546335311E0
1.881842730E-1,-6.748358250E0,-5.723631859E0,3.612564087E0,9.557767522E0
1.907235960E-1,-6.772884369E0,-5.728417397E0,3.564707518E0,9.560014029E0
1.932628150E-1,-6.839883327E0,-5.704489231E0,3.512065411E0,9.573912720E0
1.958020330E-1,-6.902096748E0,-5.718846321E0,3.468994617E0,9.611350916E0
1.983412000E-1,-6.935596466E0,-5.718846321E0,3.368496180E0,9.599711876E0
2.008804190E-1,-7.002595425E0,-5.675775528E0,3.301496983E0,9.599513157E0
2.034195850E-1,-7.079165936E0,-5.680561066E0,3.239283562E0,9.637236241E0
2.059588040E-1,-7.117451191E0,-5.685346603E0,3.234498024E0,9.666605140E0
2.084980230E-1,-7.179664135E0,-5.661418438E0,3.334996462E0,9.732493885E0
2.110373460E-1,-7.222734928E0,-5.680561066E0,3.368496180E0,9.786901470E0
2.135765650E-1,-7.165307522E0,-5.781059742E0,3.339782238E0,9.793693329E0
2.161157830E-1,-7.098308563E0,-5.838487148E0,3.287140131E0,9.761106847E0
2.186549500E-1,-6.753143787E0,-5.838487148E0,2.885145903E0,9.381734918E0
2.211941690E-1,-7.064808846E0,-5.848058701E0,3.033500910E0,9.659888320E0
2.237333350E-1,-7.107879639E0,-6.030511379E0,3.790230989E0,1.006254796E1
2.262726060E-1,-6.815955162E0,-6.188437462E0,3.785445452E0,9.954074556E0
2.288117730E-1,-6.763313293E0,-6.231508255E0,3.550350666E0,9.857945612E0
2.313510440E-1,-6.902096748E0,-6.269793510E0,3.397209883E0,9.924227183E0
2.338902630E-1,-7.050451756E0,-6.241079807E0,3.334996462E0,9.989101487E0
2.364294810E-1,-7.170093060E0,-6.212365627E0,3.172284603E0,1.000335498E1
2.389687000E-1,-7.284948349E0,-6.145366669E0,3.038286448E0,1.000335886E1
2.415078670E-1,-7.591229916E0,-6.040082455E0,2.909074068E0,1.012778750E1
2.440470850E-1,-8.036892891E0,-5.910272121E0,2.904288530E0,1.039027698E1
2.465863040E-1,-8.462815285E0,-5.828916073E0,2.966501951E0,1.069558970E1
2.491255230E-1,-8.797810555E0,-5.714060307E0,3.105285645E0,1.094050980E1
2.516647420E-1,-9.037691116E0,-5.666203976E0,3.186641455E0,1.113285282E1
2.542039600E-1,-9.315258980E0,-5.556134224E0,3.119642496E0,1.128613515E1
2.567431790E-1,-9.530612946E0,-5.383851051E0,3.172284603E0,1.139657075E1
2.592823980E-1,-9.817750931E0,-5.245067120E0,3.186641455E0,1.157815383E1
2.618215650E-1,-1.005284595E1,-5.139782906E0,3.114856958E0,1.171236159E1
2.643607830E-1,-1.024427223E1,-4.986642361E0,3.138785124E0,1.181793923E1
2.669000020E-1,-1.035434151E1,-4.866403103E0,3.076571703E0,1.184734403E1
2.694392210E-1,-1.037348461E1,-4.703691006E0,2.885145903E0,1.174980676E1
2.719784400E-1,-1.036869907E1,-4.555335999E0,2.650649309E0,1.163129177E1
2.745176580E-1,-1.032084274E1,-4.521836758E0,2.808575630E0,1.161270424E1
2.770568770E-1,-1.034955597E1,-4.540979385E0,3.124428272E0,1.172586264E1
2.795960960E-1,-1.058883858E1,-4.378267288E0,2.866003275E0,1.181129551E1
2.821352630E-1,-1.079940701E1,-4.182055950E0,2.770290375E0,1.190761489E1
2.846744810E-1,-1.100100231E1,-4.024129391E0,2.732005358E0,1.202828011E1
2.872137000E-1,-1.102493000E1,-3.918845177E0,2.755933523E0,1.202088177E1
2.897529190E-1,-1.089033413E1,-3.793820381E0,2.645863533E0,1.183186563E1
2.922921380E-1,-1.084726334E1,-3.726821184E0,2.295913219E0,1.169715929E1
2.948313560E-1,-1.103928757E1,-3.664607763E0,2.085345030E0,1.181710133E1
2.973705750E-1,-1.075633621E1,-3.645465374E0,2.362912416E0,1.160049747E1
2.999097940E-1,-1.072283649E1,-3.549752474E0,2.262413740E0,1.151948267E1
3.024490130E-1,-1.092443180E1,-3.401397467E0,1.774278045E0,1.157846179E1
3.049881790E-1,-1.097228813E1,-3.147758245E0,1.592423439E0,1.152541979E1
3.075273980E-1,-1.090947628E1,-2.821736097E0,1.433898926E0,1.135935445E1
3.100666170E-1,-1.079940701E1,-2.606382132E0,1.625923038E0,1.122782460E1
3.126058350E-1,-1.056490993E1,-2.333600283E0,1.601994753E0,1.093752254E1
3.151450540E-1,-1.049312592E1,-2.103889227E0,1.812563181E0,1.085437362E1
3.176842730E-1,-9.822537422E0,-1.845464468E0,1.745564103E0,1.014568749E1
3.202234920E-1,-9.095118523E0,-1.576870084E0,2.104487419E0,9.467659030E0
3.227627100E-1,-8.553742409E0,-1.313659668E0,4.249652863E0,9.641149328E0
3.253018770E-1,-7.596015453E0,-1.256231904E0,4.925027370E0,9.139664324E0
3.278410960E-1,-6.394220352E0,-1.189232826E0,4.417150497E0,7.862031998E0
3.303803150E-1,-5.584847927E0,-1.031306505E0,4.503292084E0,7.248017596E0
3.329195330E-1,-4.981856823E0,-8.207381964E-1,4.996811867E0,7.103565121E0
3.354587520E-1,-4.172484398E0,-8.111668825E-1,5.082953453E0,6.626011890E0
3.379979710E-1,-3.162115097E0,-9.116654396E-1,4.646861553E0,5.694157361E0
3.405371900E-1,-2.213959217E0,-9.930213690E-1,4.776672363E0,5.357639939E0
3.430764080E-1,-1.256231904E0,-9.499505758E-1,5.279164791E0,5.509092991E0
3.456155750E-1,-1.597209126E-1,-8.590233326E-1,5.566303730E0,5.634462625E0
3.481547940E-1,6.161518097E-1,-7.872386575E-1,5.710471153E0,5.797315633E0
3.506940130E-1,1.410568953E0,-7.627122402E-1,5.642873764E0,5.866298582E0
3.532332310E-1,1.990230203E0,-8.733802438E-1,5.662016392E0,6.064836266E0
3.557724500E-1,2.277369022E0,-9.834501147E-1,5.618945599E0,6.142160323E0
3.583116690E-1,2.449652195E0,-1.146162033E0,5.403591633E0,6.042622429E0
3.608508880E-1,2.603390932E0,-1.409372568E0,5.149952412E0,5.940200773E0
3.633900540E-1,2.708675146E0,-1.409372568E0,4.920241356E0,5.790684509E0
3.659292730E-1,2.191227436E0,-1.170090318E0,4.359723091E0,5.017745954E0
3.684684920E-1,2.282154560E0,-2.554338276E-1,4.383651257E0,4.948724504E0
3.710077100E-1,2.876172781E0,-5.922235921E-2,4.886742115E0,5.670637147E0
3.735469290E-1,2.550150633E0,-6.574280262E-1,5.283950806E0,5.903864495E0
3.760860960E-1,2.349153519E0,-1.404586911E0,5.422734261E0,6.074325766E0
3.786253670E-1,2.239083767E0,-1.725225091E0,5.092525005E0,5.824406292E0
3.811645850E-1,2.033301115E0,-1.859821439E0,3.569493294E0,4.509382617E0
3.837037520E-1,1.827518344E0,-2.012962103E0,5.724828243E-1,2.778412552E0
3.862430230E-1,2.239083767E0,-2.319243431E0,-1.268195957E-1,3.226215960E0
3.887821900E-1,2.353939295E0,-2.505883455E0,-5.048855543E-1,3.474966405E0
