"time","ax","ay","az","a_mag"
4.147000300E-2,4.666602135E0,1.195214868E0,8.616554260E0,9.871713194E0
4.400906500E-2,4.676173687E0,1.214357495E0,8.602197647E0,9.866056397E0
4.654818000E-2,4.695914268E0,1.185643673E0,8.616554260E0,9.884450873E0
4.908729400E-2,4.681557655E0,1.185643673E0,8.621339798E0,9.881813240E0
5.162385700E-2,4.729413986E0,1.180858016E0,8.597412109E0,9.883181537E0
5.416297100E-2,4.724628448E0,1.195214868E0,8.573483467E0,9.861808724E0
5.670208600E-2,4.715056896E0,1.243071318E0,8.616554260E0,9.900605797E0
5.924120100E-2,4.724628448E0,1.233500123E0,8.650053978E0,9.933129937E0
6.178031500E-2,4.705485821E0,1.243071318E0,8.616554260E0,9.896051254E0
6.431943000E-2,4.719842434E0,1.180858016E0,8.630910873E0,9.907772745E0
6.685854400E-2,4.695914268E0,1.176072359E0,8.616554260E0,9.883307358E0
6.939765900E-2,4.715056896E0,1.223928809E0,8.611768723E0,9.894054972E0
7.193677400E-2,4.734199524E0,1.252642632E0,8.650053978E0,9.940080106E0
7.447588800E-2,4.729413986E0,1.233500123E0,8.664410591E0,9.947908830E0
7.701500300E-2,4.676173687E0,1.180858016E0,8.673981667E0,9.924665433E0
7.955411700E-2,4.715056896E0,1.209571838E0,8.664410591E0,9.938150555E0
8.209323200E-2,4.657031059E0,1.195214868E0,8.664410591E0,9.909010433E0
8.463234600E-2,4.671388149E0,1.209571838E0,8.693124771E0,9.942602756E0
8.717146100E-2,4.676173687E0,1.185643673E0,8.678768158E0,9.929419319E0
8.971057600E-2,4.666602135E0,1.176072359E0,8.688339233E0,9.932147820E0
9.224948200E-2,4.657031059E0,1.166501045E0,8.673981667E0,9.913960910E0
9.478979400E-2,4.647459984E0,1.142572761E0,8.659625053E0,9.894112536E0
9.733015900E-2,4.628317356E0,1.147358418E0,8.664410591E0,9.889881889E0
9.987052400E-2,4.715056896E0,1.180858016E0,8.630910873E0,9.905493915E0
1.024108880E-1,4.705485821E0,1.147358418E0,8.597412109E0,9.867802345E0
1.049512530E-1,4.657031059E0,1.118644595E0,8.554341316E0,9.803879812E0
1.074916170E-1,4.691128731E0,1.123430252E0,8.583054543E0,9.845689899E0
1.100319300E-1,4.724628448E0,1.161715388E0,8.583054543E0,9.866130037E0
1.125624510E-1,4.786841869E0,1.200000525E0,8.573483467E0,9.892344267E0
1.151025550E-1,4.758127689E0,1.180858016E0,8.525627136E0,9.834659263E0
1.176426590E-1,4.786841869E0,1.185643673E0,8.530412674E0,9.853301294E0
1.201827630E-1,4.820341110E0,1.223928809E0,8.477770805E0,9.828849779E0
1.227228670E-1,4.839483738E0,1.176072359E0,8.429914474E0,9.791180066E0
1.252629710E-1,4.882554531E0,1.180858016E0,8.377271652E0,9.767929399E0
1.278030760E-1,4.925625324E0,1.204786181E0,8.319844246E0,9.743361989E0
1.303431800E-1,4.944767952E0,1.204786181E0,8.315058708E0,9.748971287E0
1.328881800E-1,4.968696117E0,1.214357495E0,8.238488197E0,9.697179642E0
1.354331800E-1,4.987838745E0,1.228714466E0,8.181060791E0,9.660125789E0
1.379781800E-1,5.006981373E0,1.200000525E0,8.157132149E0,9.646173781E0
1.405231800E-1,5.002195835E0,1.223928809E0,8.166703224E0,9.654791891E0
1.430681800E-1,5.045266628E0,1.266999602E0,8.128418922E0,9.650450638E0
1.456131800E-1,5.112265587E0,1.271785259E0,8.061419487E0,9.630118448E0
1.481581800E-1,5.102694511E0,1.271785259E0,8.037490845E0,9.605008490E0
1.507031800E-1,5.107480049E0,1.266999602E0,8.037490845E0,9.606919357E0
1.532481800E-1,5.203192711E0,1.247856975E0,8.008777618E0,9.631764135E0
1.557931800E-1,5.471189022E0,1.171286702E0,8.003992081E0,9.765741707E0
1.583381800E-1,5.590830326E0,1.133001566E0,7.941778183E0,9.778185772E0
1.608831800E-1,5.581258774E0,1.137787223E0,7.917850018E0,9.753838125E0
1.634281800E-1,5.499902725E0,1.118644595E0,7.984848976E0,9.760026070E0
1.659731800E-1,5.490331650E0,1.137787223E0,7.970492363E0,9.745103894E0
1.685181800E-1,5.447260857E0,1.156929731E0,8.018348694E0,9.762430692E0
1.710631800E-1,5.413761139E0,1.171286702E0,8.051848412E0,9.773074493E0
1.736081800E-1,5.375475883E0,1.142572761E0,8.109275818E0,9.795997539E0
1.761531800E-1,5.356333256E0,1.137787223E0,8.190631866E0,9.852477662E0
1.786981800E-1,5.394618511E0,1.123430252E0,8.262416840E0,9.931341120E0
1.812431800E-1,5.705685616E0,1.056431174E0,8.248059273E0,1.008471006E1
1.837881800E-1,5.614758492E0,1.070788145E0,8.353343964E0,1.012178124E1
1.863331800E-1,5.499902725E0,1.099501967E0,8.487341881E0,1.017314144E1
1.888781800E-1,5.447260857E0,1.142572761E0,8.496912956E0,1.015754169E1
1.914231800E-1,5.351547718E0,1.166501045E0,8.587840080E0,1.018581292E1
1.939681800E-1,5.298905849E0,1.156929731E0,8.659625053E0,1.021792521E1
1.965131800E-1,5.251049519E0,1.128215909E0,8.726624489E0,1.024696868E1
1.990581800E-1,5.188836098E0,1.051645517E0,8.769695282E0,1.024390227E1
2.016031800E-1,5.169693470E0,1.022931695E0,8.832506180E0,1.028519738E1
2.041481800E-1,5.160121918E0,9.942178130E-1,8.832506180E0,1.027757231E1
2.066931800E-1,5.097908497E0,9.655039310E-1,8.918647766E0,1.031809803E1
2.092381800E-1,5.064409256E0,9.511470199E-1,8.980861664E0,1.035416815E1
2.117831800E-1,5.021338463E0,9.032905698E-1,9.047860146E0,1.038718186E1
2.142531800E-1,5.006981373E0,8.697910309E-1,9.100502968E0,1.042331776E1
2.167231800E-1,4.954339504E0,8.362914920E-1,9.114859581E0,1.040795506E1
2.191931800E-1,4.892126083E0,8.315058947E-1,9.138788223E0,1.039912255E1
2.216930760E-1,4.825126648E0,8.315058947E-1,9.177073479E0,1.040153483E1
2.242279710E-1,4.801198483E0,8.362914920E-1,9.210572243E0,1.042043816E1
2.267628150E-1,4.791627407E0,8.315058947E-1,9.239286423E0,1.044104922E1
2.292977110E-1,4.777270317E0,8.075776696E-1,9.306285858E0,1.049197073E1
2.318326070E-1,4.729413986E0,8.793623447E-1,9.306285858E0,1.047604846E1
2.343776070E-1,4.748556614E0,8.745766878E-1,9.339784622E0,1.051405018E1
2.369226070E-1,4.695914268E0,8.697910309E-1,9.373284340E0,1.051981970E1
2.394676070E-1,4.710271358E0,8.745766878E-1,9.378069878E0,1.053089432E1
2.420126070E-1,4.724628448E0,8.745766878E-1,9.363713264E0,1.052454866E1
2.445576070E-1,4.686343193E0,8.554341197E-1,9.282357216E0,1.043339521E1
2.471026070E-1,4.710271358E0,8.410771489E-1,9.244071960E0,1.040898331E1
2.496476070E-1,4.767699242E0,7.836494446E-1,9.191430092E0,1.038399969E1
2.521926070E-1,4.782055855E0,7.645068169E-1,9.162715912E0,1.036377787E1
2.547376070E-1,4.753342152E0,7.549355626E-1,9.201001167E0,1.038376674E1
2.572826070E-1,4.719842434E0,7.357929349E-1,9.157930374E0,1.032889116E1
2.598276070E-1,4.700700283E0,7.692924738E-1,9.086145401E0,1.025896838E1
2.623726070E-1,4.705485821E0,7.692924738E-1,9.062217712E0,1.023998035E1
2.649176070E-1,4.715056896E0,7.788637877E-1,9.004789352E0,1.019434263E1
2.674626070E-1,4.719842434E0,7.932206988E-1,8.956933022E0,1.015543012E1
2.700076070E-1,4.729413986E0,7.980063558E-1,8.909076691E0,1.011809361E1
2.725526070E-1,4.758127689E0,7.836494446E-1,8.870791435E0,1.009677306E1
2.750976070E-1,4.734199524E0,8.362914920E-1,8.807980537E0,1.003456774E1
2.776426070E-1,4.777270317E0,8.315058947E-1,8.745766640E0,1.000010739E1
2.801876070E-1,4.791627407E0,9.032905698E-1,8.740981102E0,1.000901482E1
2.827326070E-1,4.825126648E0,9.032905698E-1,8.669196129E0,9.962567066E0
2.852776070E-1,4.853840828E0,9.224331379E-1,8.583054543E0,9.903508417E0
2.878226070E-1,4.887340069E0,8.841479421E-1,8.539983749E0,9.879227347E0
2.903676070E-1,4.935196877E0,9.415757060E-1,8.449056625E0,9.830019882E0
2.929126070E-1,4.973481655E0,9.511470199E-1,8.420342445E0,9.825597556E0
2.954576070E-1,4.963910580E0,9.415757060E-1,8.401200294E0,9.803424883E0
2.980026070E-1,5.006981373E0,9.128618240E-1,8.305487633E0,9.740857457E0
3.005476070E-1,5.011766911E0,8.985049129E-1,8.286344528E0,9.725668321E0
3.030926070E-1,5.021338463E0,8.937192559E-1,8.281558990E0,9.726088288E0
3.056376070E-1,5.016552448E0,8.793623447E-1,8.238488197E0,9.685647339E0
3.081826070E-1,5.045266628E0,8.745766878E-1,8.209774017E0,9.675742305E0
3.107276070E-1,5.117051125E0,8.362914920E-1,8.142775536E0,9.653413339E0
3.132726070E-1,5.102694511E0,7.836494446E-1,8.147561073E0,9.645431518E0
3.158176070E-1,5.102694511E0,7.932206988E-1,8.128418922E0,9.630051118E0
3.183626070E-1,5.064409256E0,7.980063558E-1,8.104490280E0,9.589985295E0
3.209076070E-1,5.059623718E0,8.171489239E-1,8.066205025E0,9.556735218E0
3.234526070E-1,5.021338463E0,7.932206988E-1,8.023134232E0,9.498090436E0
3.259976070E-1,4.963910580E0,7.645068169E-1,8.042277336E0,9.481724720E0
3.285426070E-1,4.887340069E0,7.692924738E-1,8.032705307E0,9.434100827E0
3.310876070E-1,4.844269276E0,7.453642488E-1,7.980063438E0,9.365037382E0
3.336326070E-1,4.791627407E0,8.027920127E-1,7.994420528E0,9.354941358E0
3.361776070E-1,4.786841869E0,7.788637877E-1,8.008777618E0,9.362745475E0
3.387226070E-1,4.748556614E0,7.740781307E-1,8.027919769E0,9.359245840E0
3.412676070E-1,4.647459984E0,8.123632669E-1,8.066205025E0,9.344649907E0
3.438154190E-1,4.590032101E0,8.267202377E-1,8.070990562E0,9.321628060E0
3.463527110E-1,4.518247128E0,8.458628058E-1,8.118846893E0,9.329829359E0
3.488901070E-1,4.494318962E0,8.745766878E-1,8.137989998E0,9.337594365E0
3.514274510E-1,4.460819721E0,8.793623447E-1,8.161917686E0,9.342863107E0
3.539647940E-1,4.398606300E0,9.367900491E-1,8.142775536E0,9.302156008E0
3.564347940E-1,4.365106583E0,9.463613629E-1,8.133204460E0,9.278942294E0
3.589047940E-1,4.369892120E0,9.702895880E-1,8.066205025E0,9.225024798E0
3.613747940E-1,4.355535507E0,9.511470199E-1,8.056633949E0,9.207861902E0
3.638447940E-1,4.369892120E0,9.750752449E-1,8.051848412E0,9.212979525E0
3.663205240E-1,4.322035789E0,1.027717352E0,8.056633949E0,9.200301458E0
3.688504190E-1,4.307679176E0,1.018146038E0,8.003992081E0,9.146398770E0
3.713803150E-1,4.326821327E0,1.037288666E0,8.018348694E0,9.170129026E0
3.739102110E-1,4.312464714E0,1.022931695E0,8.027919769E0,9.170127425E0
3.764552110E-1,4.322035789E0,1.042074203E0,8.003992081E0,9.155861578E0
3.790002110E-1,4.389034748E0,1.027717352E0,7.989634991E0,9.173554178E0
3.815452110E-1,4.408177376E0,1.022931695E0,7.984848976E0,9.178029756E0
3.840902110E-1,4.341178417E0,9.702895880E-1,7.994420528E0,9.148663920E0
3.866352110E-1,4.408177376E0,9.559326172E-1,7.975277901E0,9.162471967E0
3.891802110E-1,4.441677094E0,9.367900491E-1,7.956135273E0,9.160030539E0
3.917252110E-1,4.436891556E0,9.176474810E-1,7.956135273E0,9.155772609E0
3.942702110E-1,4.412963390E0,8.889335990E-1,7.984848976E0,9.166365801E0
3.968152110E-1,4.369892120E0,8.793623447E-1,7.975277901E0,9.136426701E0
3.993602110E-1,4.417748928E0,8.410771489E-1,7.917850018E0,9.105836879E0
4.019052110E-1,4.417748928E0,8.267202377E-1,7.980063438E0,9.158678094E0
4.044502110E-1,4.374678135E0,7.980063558E-1,8.027919769E0,9.177260961E0
4.069952110E-1,4.350749969E0,8.027920127E-1,8.066205025E0,9.199845858E0
4.095402110E-1,4.288536549E0,8.315058947E-1,8.104490280E0,9.206829557E0
4.120852110E-1,4.211966038E0,7.932206988E-1,8.152346611E0,9.210353535E0
4.146302110E-1,4.168895245E0,8.171489239E-1,8.195417404E0,9.231050122E0
4.171752110E-1,4.130609989E0,7.884350419E-1,8.219346046E0,9.232617079E0
4.197202110E-1,4.034897327E0,7.692924738E-1,8.185846329E0,9.158618208E0
4.222652110E-1,3.977469444E0,8.123632669E-1,8.224131584E0,9.171506832E0
4.248102110E-1,3.920041800E0,7.884350419E-1,8.233702660E0,9.153262643E0
