"time","ax","ay","az","a_mag"
5.369104700E-2,5.970092416E-1,5.878567219E0,7.936992645E0,9.894939355E0
5.623021300E-2,6.975077987E-1,5.825924873E0,8.114061356E0,1.001328665E1
5.876938000E-2,7.836494446E-1,5.806782246E0,8.324629784E0,1.017999448E1
6.130849500E-2,7.980063558E-1,5.768496990E0,8.434700012E0,1.024970907E1
6.384443200E-2,8.362914920E-1,5.715855122E0,8.525627136E0,1.029838343E1
6.638354700E-2,8.889335990E-1,5.667998791E0,8.616554260E0,1.035188005E1
6.892260900E-2,9.320043921E-1,5.600999832E0,8.726624489E0,1.041123462E1
7.146167200E-2,9.798609018E-1,5.495715618E0,8.731410027E0,1.036342311E1
7.400078600E-2,9.990034699E-1,5.476572990E0,8.788837433E0,1.040358222E1
7.653984900E-2,9.702895880E-1,5.375475883E0,8.842078209E0,1.039324540E1
7.907891100E-2,9.320043921E-1,5.351547718E0,8.909076691E0,1.043452647E1
8.161802600E-2,9.080761671E-1,5.294120312E0,8.947361946E0,1.043588032E1
8.415714000E-2,8.219345808E-1,5.198407173E0,8.980861664E0,1.040936549E1
8.669625500E-2,7.022934556E-1,5.145765305E0,9.138788223E0,1.051140176E1
8.923531700E-2,5.054838061E-1,5.117051125E0,9.201001167E0,1.054031065E1
9.177438000E-2,3.954139352E-1,5.102694511E0,9.124430656E0,1.046179135E1
9.431349500E-2,3.092723191E-1,5.107480049E0,8.942576408E0,1.030299348E1
9.685255700E-2,3.571287692E-1,5.083551884E0,8.769695282E0,1.014285936E1
9.939162000E-2,3.858426511E-1,5.069194794E0,8.563912392E0,9.959227172E0
1.019307340E-1,3.762713671E-1,5.064409256E0,8.410771370E0,9.825013806E0
1.044699010E-1,3.044866920E-1,5.016552448E0,8.300702095E0,9.703616124E0
1.070090150E-1,2.757728100E-1,5.073980331E0,8.248059273E0,9.687714323E0
1.095480780E-1,2.231307179E-1,5.145765305E0,8.267202377E0,9.740396452E0
1.120871400E-1,1.896311939E-1,5.203192711E0,8.295916557E0,9.794457918E0
